"model","subject","r_squared","adj_r_squared","p_value","residual_se","df","n_languages"
"Anthropic_Sonnet35","elementary_mathematics",0.0241403032413455,-0.0409170098758982,0.55154111764464,0.0665641473569778,15,17
"Anthropic_Sonnet35","high_school_geography",0.174176413907682,0.119121508168194,0.0955620016440294,0.164406106635353,15,17
"Anthropic_Sonnet35","international_law",0.119438517977828,0.0607344191763496,0.17423754723192,0.0996492396929557,15,17
"Anthropic_Sonnet35","global_facts",0.0100550403391587,-0.0559412903048973,0.701779616029542,0.0877265557315245,15,17
"Anthropic_Sonnet35","high_school_microeconomics",0.261833970029812,0.212622901365132,0.0357615448026339,0.140266122966805,15,17
"CohereForAI_Aya23_35B","elementary_mathematics",0.52328516440969,0.491504175370336,0.00103094133330718,0.035486264299526,15,17
"CohereForAI_Aya23_35B","high_school_geography",0.296165620328651,0.249243328350561,0.0239160064596471,0.111677863553062,15,17
"CohereForAI_Aya23_35B","international_law",0.277914331820343,0.229775287275032,0.029665622798353,0.119253538488742,15,17
"CohereForAI_Aya23_35B","global_facts",0.199004786523634,0.14560510562521,0.0726766873784545,0.0582555300291729,15,17
"CohereForAI_Aya23_35B","high_school_microeconomics",0.33925909433784,0.295209700627029,0.0141495603905676,0.105063123101152,15,17
"DeepSeek_R1","elementary_mathematics",0.126605237678534,0.0683789201904365,0.161005585245293,0.0816910092950004,15,17
"DeepSeek_R1","high_school_geography",0.125286313903292,0.0669720681635111,0.163359848075533,0.171801999387892,15,17
"DeepSeek_R1","international_law",0.0636638916680933,0.00124148444596617,0.32855959828414,0.133016719745288,15,17
"DeepSeek_R1","global_facts",0.000248307478866985,-0.0664018053558753,0.952135440552798,0.102132926708895,15,17
"DeepSeek_R1","high_school_microeconomics",0.0867391985011508,0.0258551450678941,0.25117396515547,0.22086101359847,15,17
"DeepSeek_V3","elementary_mathematics",0.0535973051018277,-0.00949620789138383,0.371283889139805,0.0880768584343879,15,17
"DeepSeek_V3","high_school_geography",0.265887270871038,0.216946422262441,0.034124285634785,0.162664457877453,15,17
"DeepSeek_V3","international_law",0.148496551427343,0.0917296548558325,0.126628633134289,0.139975931192178,15,17
"DeepSeek_V3","global_facts",0.102322666417815,0.0424775108456693,0.21070016442012,0.0912558459115224,15,17
