"model","mean_r_squared","sd_r_squared","n_subjects"
"Anthropic_Sonnet35",0.117928849099165,0.105247091916582,5
"CohereForAI_Aya23_35B",0.327125799484032,0.120852191226507,5
"DeepSeek_R1",0.0805085898459873,0.0521876967773966,5
"DeepSeek_V3",0.194570203862726,0.140397928557002,5
"Gemini15_Pro002",0.0729268495551528,0.0740166673312223,5
"Llama31_405B",0.288066583394347,0.138341949712134,5
"Microsoft_Phi4",0.33483159588998,0.176880843843496,5
"OpenAI_GPT4o",0.145789582796773,0.0679751175798331,5
"Pixtral_12B_2409",0.31574864631463,0.117709569771418,5
"Qwen25_32B",0.337104285852776,0.0809371903045267,5
