subject,language,Anthropic/claude-3-5-sonnet-20241022,CohereLabs/aya-23-35B,Google/gemini-15-Pro-002,OpenAI/gpt-4o-2024-08-06,OpenAI/o1-preview-2024-09-12,Qwen/Qwen2.5-32B,deepseek-ai/DeepSeek-R1,deepseek-ai/DeepSeek-V3-0324,meta-llama/Llama-3.1-405B,microsoft/phi-4,mistralai/Pixtral-12B-2409
elementary_mathematics,amh,0.61,0.23,0.81,0.82,0.79,0.53,0.94,0.83,0.73,0.47,0.38
elementary_mathematics,eng,0.63,0.42,0.93,0.95,0.99,0.78,1.0,0.96,0.85,0.66,0.41
elementary_mathematics,ewe,0.47,0.27,0.71,0.64,0.61,0.51,0.72,0.66,0.58,0.37,0.38
elementary_mathematics,fra,0.7,0.35,0.86,0.88,0.93,0.7,0.96,0.89,0.82,0.65,0.37
elementary_mathematics,hau,0.58,0.28,0.82,0.83,0.92,0.52,0.95,0.76,0.66,0.43,0.34
elementary_mathematics,ibo,0.69,0.27,0.85,0.89,0.94,0.54,0.98,0.85,0.77,0.42,0.37
elementary_mathematics,kin,0.6,0.25,0.83,0.8,0.91,0.51,0.85,0.79,0.71,0.44,0.33
elementary_mathematics,lin,0.56,0.28,0.78,0.73,0.89,0.56,0.88,0.72,0.62,0.48,0.31
elementary_mathematics,lug,0.58,0.2,0.79,0.8,0.93,0.5,0.9,0.69,0.7,0.42,0.34
elementary_mathematics,orm,0.61,0.25,0.73,0.86,0.92,0.49,0.87,0.75,0.68,0.42,0.34
elementary_mathematics,sna,0.58,0.3,0.76,0.74,0.9,0.54,0.89,0.77,0.68,0.41,0.3
elementary_mathematics,sot,0.59,0.27,0.82,0.83,0.93,0.58,0.91,0.73,0.71,0.46,0.34
elementary_mathematics,swa,0.7,0.3,0.86,0.93,1.0,0.65,0.99,0.89,0.83,0.53,0.4
elementary_mathematics,twi,0.54,0.24,0.74,0.75,0.8,0.57,0.83,0.75,0.72,0.47,0.37
elementary_mathematics,wol,0.55,0.26,0.6,0.69,0.88,0.42,0.76,0.62,0.57,0.4,0.35
elementary_mathematics,xho,0.52,0.23,0.73,0.77,0.8,0.46,0.74,0.74,0.63,0.33,0.33
elementary_mathematics,yor,0.68,0.25,0.82,0.86,0.97,0.53,0.9,0.83,0.76,0.46,0.32
elementary_mathematics,zul,0.58,0.25,0.83,0.8,0.92,0.56,0.93,0.81,0.68,0.5,0.35
global_facts,amh,0.56,0.18,0.63,0.41,0.64,0.38,0.65,0.53,0.53,0.38,0.35
global_facts,eng,0.66,0.43,0.69,0.68,0.75,0.55,0.65,0.67,0.66,0.45,0.43
global_facts,ewe,0.34,0.25,0.41,0.29,0.44,0.32,0.45,0.36,0.35,0.39,0.32
global_facts,fra,0.53,0.26,0.65,0.6,0.75,0.54,0.68,0.63,0.63,0.47,0.41
global_facts,hau,0.51,0.17,0.69,0.56,0.76,0.3,0.65,0.62,0.49,0.35,0.33
global_facts,ibo,0.48,0.2,0.62,0.51,0.76,0.33,0.68,0.56,0.53,0.41,0.3
global_facts,kin,0.41,0.17,0.61,0.61,0.72,0.36,0.63,0.49,0.48,0.31,0.26
global_facts,lin,0.39,0.19,0.52,0.54,0.66,0.36,0.57,0.51,0.48,0.32,0.36
global_facts,lug,0.43,0.18,0.57,0.41,0.7,0.34,0.48,0.38,0.37,0.33,0.33
global_facts,orm,0.45,0.23,0.44,0.48,0.74,0.34,0.52,0.47,0.36,0.41,0.34
global_facts,sna,0.45,0.17,0.61,0.5,0.63,0.33,0.57,0.49,0.38,0.36,0.34
global_facts,sot,0.52,0.19,0.54,0.49,0.71,0.33,0.54,0.46,0.41,0.33,0.26
global_facts,swa,0.57,0.21,0.73,0.59,0.74,0.36,0.64,0.61,0.61,0.37,0.25
global_facts,twi,0.36,0.23,0.45,0.34,0.64,0.3,0.49,0.43,0.39,0.37,0.37
global_facts,wol,0.37,0.19,0.23,0.36,0.54,0.3,0.3,0.36,0.39,0.3,0.28
global_facts,xho,0.55,0.16,0.61,0.54,0.66,0.34,0.64,0.54,0.41,0.35,0.22
global_facts,yor,0.53,0.25,0.53,0.42,0.74,0.33,0.6,0.49,0.47,0.36,0.32
global_facts,zul,0.51,0.21,0.55,0.57,0.68,0.34,0.56,0.48,0.48,0.38,0.31
high_school_geography,amh,0.59,0.23,0.75,0.57,0.75,0.26,0.78,0.54,0.6,0.24,0.28
high_school_geography,eng,0.87,0.67,0.91,0.92,0.91,0.86,0.95,0.92,0.92,0.92,0.78
high_school_geography,ewe,0.29,0.18,0.32,0.23,0.36,0.26,0.36,0.3,0.28,0.25,0.25
high_school_geography,fra,0.87,0.41,0.89,0.86,0.9,0.78,0.85,0.86,0.85,0.83,0.66
high_school_geography,hau,0.47,0.14,0.64,0.66,0.77,0.28,0.67,0.53,0.44,0.34,0.31
high_school_geography,ibo,0.48,0.19,0.61,0.67,0.76,0.28,0.76,0.61,0.49,0.29,0.28
high_school_geography,kin,0.45,0.18,0.58,0.59,0.68,0.21,0.55,0.36,0.31,0.26,0.24
high_school_geography,lin,0.48,0.17,0.45,0.63,0.69,0.31,0.6,0.42,0.36,0.35,0.36
high_school_geography,lug,0.47,0.17,0.47,0.54,0.7,0.21,0.46,0.33,0.33,0.25,0.33
high_school_geography,orm,0.54,0.22,0.51,0.61,0.82,0.24,0.6,0.41,0.38,0.25,0.34
high_school_geography,sna,0.57,0.2,0.67,0.69,0.81,0.29,0.73,0.57,0.37,0.26,0.4
high_school_geography,sot,0.59,0.23,0.67,0.7,0.83,0.28,0.7,0.56,0.46,0.33,0.3
high_school_geography,swa,0.66,0.17,0.77,0.77,0.86,0.33,0.81,0.71,0.7,0.38,0.38
high_school_geography,twi,0.37,0.17,0.35,0.42,0.66,0.31,0.45,0.35,0.32,0.29,0.36
high_school_geography,wol,0.21,0.19,0.2,0.33,0.48,0.25,0.28,0.3,0.27,0.22,0.23
high_school_geography,xho,0.51,0.19,0.63,0.65,0.81,0.28,0.65,0.45,0.4,0.28,0.29
high_school_geography,yor,0.4,0.27,0.58,0.52,0.66,0.3,0.51,0.47,0.5,0.32,0.24
high_school_geography,zul,0.66,0.16,0.78,0.72,0.84,0.25,0.73,0.55,0.52,0.27,0.27
high_school_microeconomics,amh,0.59,0.2,0.83,0.61,0.84,0.33,0.91,0.61,0.52,0.27,0.37
high_school_microeconomics,eng,0.81,0.69,0.96,0.97,0.97,0.88,0.99,0.98,0.97,0.95,0.73
high_school_microeconomics,ewe,0.31,0.24,0.34,0.3,0.25,0.23,0.22,0.3,0.37,0.18,0.31
high_school_microeconomics,fra,0.8,0.51,0.94,0.9,0.95,0.8,0.97,0.9,0.9,0.82,0.58
high_school_microeconomics,hau,0.38,0.23,0.61,0.72,0.81,0.3,0.74,0.44,0.46,0.22,0.33
high_school_microeconomics,ibo,0.37,0.27,0.55,0.61,0.81,0.34,0.78,0.48,0.37,0.33,0.26
high_school_microeconomics,kin,0.46,0.2,0.57,0.6,0.82,0.24,0.66,0.44,0.44,0.23,0.3
high_school_microeconomics,lin,0.44,0.26,0.57,0.66,0.86,0.37,0.68,0.45,0.44,0.31,0.28
high_school_microeconomics,lug,0.33,0.27,0.39,0.53,0.73,0.29,0.44,0.37,0.4,0.32,0.33
