subject,language,Anthropic/claude-3-5-sonnet-20241022,CohereLabs/aya-23-35B,Google/gemini-15-Pro-002,OpenAI/gpt-4o-2024-08-06,OpenAI/o1-preview-2024-09-12,Qwen/Qwen2.5-32B,deepseek-ai/DeepSeek-R1,deepseek-ai/DeepSeek-V3-0324,meta-llama/Llama-3.1-405B,microsoft/phi-4,mistralai/Pixtral-12B-2409
elementary_mathematics,amh,12001,16304,9559,14323,14323,11823,14901,14901,18123,18152,19074
elementary_mathematics,eng,5733,5229,5206,4493,4493,5230,4482,4482,4502,4502,5456
elementary_mathematics,ewe,9326,7734,7390,6951,6951,7622,7231,7231,7550,7890,8674
elementary_mathematics,fra,7131,5812,5775,5078,5078,6325,5506,5506,5659,5662,6040
elementary_mathematics,hau,7987,7050,6771,5753,5753,7246,6506,6506,6634,6671,7473
elementary_mathematics,ibo,9785,8233,7868,5855,5855,8322,7614,7614,7601,7740,8570
elementary_mathematics,kin,7781,6957,6799,5778,5778,7241,6412,6412,6486,6521,7308
elementary_mathematics,lin,7373,6431,6376,5567,5567,6738,5968,5968,6012,6024,6827
elementary_mathematics,lug,8886,7907,7898,6738,6738,8149,7354,7354,7393,7429,8270
elementary_mathematics,orm,8582,7506,7338,6242,6242,7862,7089,7089,7114,7140,7951
elementary_mathematics,sna,7597,6763,6597,5641,5641,7050,6265,6265,6285,6330,7129
elementary_mathematics,sot,8098,7227,7010,5994,5994,7513,6691,6691,6757,6789,7617
elementary_mathematics,swa,7905,7074,6531,5624,5624,7422,6606,6606,6656,6696,7343
elementary_mathematics,twi,10489,8146,7999,6903,6903,8116,7481,7481,8410,8425,9216
elementary_mathematics,wol,8070,7337,7152,6386,6386,7512,6756,6756,6779,6811,7661
elementary_mathematics,xho,8331,7414,7334,5958,5958,7674,6953,6953,6941,6976,7846
elementary_mathematics,yor,11774,9265,8905,7508,7508,9703,9116,9116,8916,9520,10129
elementary_mathematics,zul,8497,7429,7382,6124,6124,7830,7056,7056,7068,7120,7918
global_facts,amh,14439,20235,11091,18150,18150,13922,18753,18753,23317,23342,24067
global_facts,eng,4913,4558,4554,4026,4026,4564,4024,4024,4029,4029,4784
global_facts,ewe,11820,9357,8758,8619,8619,9487,9201,9201,9776,10299,10910
global_facts,fra,7133,5659,5712,5208,5208,6438,5629,5629,5931,5936,5888
global_facts,hau,8140,7279,6938,5814,5814,7630,7007,7007,7205,7249,7782
global_facts,ibo,9673,8318,7853,5870,5870,8381,7850,7850,7837,8064,8651
global_facts,kin,9079,7966,7747,6502,6502,8393,7765,7765,7803,7869,8281
global_facts,lin,7445,6557,6499,5760,5760,6999,6321,6321,6421,6458,6884
global_facts,lug,9762,8748,8528,7309,7309,9079,8417,8417,8468,8532,9014
global_facts,orm,9172,8042,7870,6342,6342,8579,8100,8100,8037,8056,8611
global_facts,sna,8396,7504,7294,6220,6220,8103,7386,7386,7331,7576,7904
global_facts,sot,8378,7586,7223,6117,6117,7971,7205,7205,7302,7438,8034
global_facts,swa,8134,7200,6559,5531,5531,7691,7019,7019,7077,7157,7498
global_facts,twi,10565,8134,7873,6693,6693,8303,7738,7738,8864,8891,9441
global_facts,wol,9249,8290,8091,7447,7447,8745,8035,8035,8141,8257,8899
global_facts,xho,9286,7886,7793,6396,6396,8411,7905,7905,7732,7969,8279
global_facts,yor,14173,10702,10157,8435,8435,11370,10808,10808,10681,11572,11857
global_facts,zul,8710,7639,7526,6173,6173,8116,7507,7507,7521,7602,8106
high_school_geography,amh,15577,22847,11331,21104,21104,14946,21654,21654,27923,27950,28146
high_school_geography,eng,4295,3318,3305,3352,3352,3392,3317,3317,3366,3369,3588
high_school_geography,ewe,10783,7909,7407,7649,7649,7909,8237,8237,9055,9539,9484
high_school_geography,fra,7251,4804,5025,5027,5027,5982,5662,5662,6047,6062,5132
high_school_geography,hau,9047,7133,6594,6003,6003,7574,7502,7502,7807,7874,7834
high_school_geography,ibo,10222,8059,7507,5279,5279,8173,8000,8000,8122,8303,8436
high_school_geography,kin,9751,7876,7757,6891,6891,8468,8386,8386,8369,8453,8459
high_school_geography,lin,7672,5811,5863,5739,5739,6529,6398,6398,6513,6531,6343
high_school_geography,lug,11125,9023,8903,8122,8122,9498,9283,9283,9392,9477,9343
high_school_geography,orm,10262,8469,8150,7190,7190,9117,9100,9100,9055,9097,9138
high_school_geography,sna,8381,6750,6585,5933,5933,7477,7249,7249,7300,7458,7306
high_school_geography,sot,7751,6305,5963,5555,5555,6712,6548,6548,6598,6689,6786
high_school_geography,swa,8711,7024,6248,5734,5734,7544,7411,7411,7459,7524,7374
high_school_geography,twi,13172,9308,9336,8693,8693,9087,9582,9582,10827,10865,10717
high_school_geography,wol,9489,8007,7806,7508,7508,8421,8265,8265,8288,8436,8578
high_school_geography,xho,8910,7301,7166,6130,6130,7779,7659,7659,7669,7767,7882
high_school_geography,yor,16092,11428,10801,9324,9324,12248,12465,12465,12226,13398,12892
high_school_geography,zul,8800,7155,7027,5972,5972,7736,7552,7552,7619,7722,7746
high_school_microeconomics,amh,24535,35897,17681,32548,32548,23525,34377,34377,42871,42898,43197
high_school_microeconomics,eng,6762,5651,5588,5596,5596,5663,5607,5607,5626,5626,5941
high_school_microeconomics,ewe,22176,17133,15794,16785,16785,16814,17816,17816,19311,20143,20095
high_school_microeconomics,fra,10837,7765,7659,7638,7638,9054,8777,8777,9148,9154,7933
high_school_microeconomics,hau,12650,10845,10100,8873,8873,11675,11446,11446,11734,11860,11622
high_school_microeconomics,ibo,17896,14427,13353,9429,9429,14443,14684,14684,14398,15092,14887
high_school_microeconomics,kin,14829,12646,12384,10628,10628,13491,13252,13252,13368,13467,13155
high_school_microeconomics,lin,11254,9442,9293,8907,8907,10092,9989,9989,10087,10099,9944
high_school_microeconomics,lug,20658,17698,17315,15342,15342,18835,18497,18497,18523,18801,18183
high_school_microeconomics,orm,14584,12599,12167,10693,10693,13665,13464,13464,13597,13647,13544
high_school_microeconomics,sna,15125,13079,12487,11023,11023,14535,14108,14108,14148,14510,13861
high_school_microeconomics,sot,13515,11806,11117,10061,10061,12395,12212,12212,12229,12358,12472
high_school_microeconomics,swa,12742,10967,9817,8835,8835,11765,11534,11534,11600,11730,11417
high_school_microeconomics,twi,19192,13794,13293,12059,12059,14070,14091,14091,16580,16620,16354
high_school_microeconomics,wol,15927,14588,13784,13438,13438,14889,14891,14891,14807,15006,15012
high_school_microeconomics,xho,13883,11970,11694,9706,9706,12631,12509,12509,12490,12619,12592
high_school_microeconomics,yor,23934,17388,16425,13980,13980,18392,19071,19071,18376,19847,19166
high_school_microeconomics,zul,13704,11465,11626,9610,9610,12650,12329,12329,12435,12633,12359
international_law,amh,32956,50945,25492,46960,46960,33422,48490,48490,61953,61966,62244
international_law,eng,8664,7503,7466,7496,7496,7609,7489,7489,7532,7536,7865
international_law,ewe,30056,22400,20548,21630,21630,22346,23587,23587,25490,26691,26168
international_law,fra,14599,10653,10834,10767,10767,12952,12150,12150,13040,13060,10809
international_law,hau,19877,16673,15221,13614,13614,17462,17512,17512,18224,18443,18058
international_law,ibo,21252,17610,16171,11304,11304,17635,17577,17577,17472,18068,18101
international_law,kin,19859,17321,17226,14498,14498,18223,18102,18102,18020,18162,18023
international_law,lin,15758,12788,12771,12334,12334,14371,13980,13980,14301,14367,13648
international_law,lug,23351,20042,19716,17829,17829,20996,20592,20592,20714,20930,20559
international_law,orm,20195,16896,16327,14051,14051,18375,18228,18228,18251,18325,18017
international_law,sna,17437,15066,14714,13022,13022,16655,16135,16135,16167,16592,15870
international_law,sot,16869,14780,13918,12762,12762,15560,15285,15285,15324,15488,15482
international_law,swa,17129,14656,13168,11837,11837,15751,15529,15529,15586,15691,15238
international_law,twi,25160,18353,17942,16317,16317,18673,18782,18782,21783,21857,21161
international_law,wol,21329,19305,18584,17917,17917,19992,19724,19724,19761,20082,20262
international_law,xho,19209,16345,16249,13572,13572,17896,17797,17797,17577,17837,17596
international_law,yor,31566,22277,20942,17762,17762,23593,24763,24763,23491,25672,24390
international_law,zul,18692,15745,15432,12796,12796,17340,17036,17036,17012,17283,16983
